"SUID","2","name","selected","shared name"
"72","2","ACAN","false","ACAN"
"73","1","CTNNB1","false","CTNNB1"
"74","1","APC","false","APC"
"75",,"CSNK2B","false","CSNK2B"
"76",,"CSNK2A2","false","CSNK2A2"
"77","1","ARID1A","false","ARID1A"
"78",,"CREBBP","false","CREBBP"
"79","1","AXIN1","false","AXIN1"
"80",,"SMAD3","false","SMAD3"
"81",,"SMAD2","false","SMAD2"
"82","2","C8B","false","C8B"
"83",,"CLU","false","CLU"
"84","1","CASP8","false","CASP8"
"85",,"APP","false","APP"
"86",,"BCL2","false","BCL2"
"87","2","CCL2","false","CCL2"
"88","2","VCAN","false","VCAN"
"89","2","CCL5","false","CCL5"
"90","2","SDC4","false","SDC4"
"91",,"GRB2","false","GRB2"
"92","2","PF4","false","PF4"
"93","2","CDK5RAP3","false","CDK5RAP3"
"94",,"CRMP1","false","CRMP1"
"95",,"CDK5R1","false","CDK5R1"
"96",,"RELA","false","RELA"
"97",,"ABL1","false","ABL1"
"98","2","DDOST","false","DDOST"
"99",,"SMYD3","false","SMYD3"
"100","2","STYXL1","false","STYXL1"
"101","2","ECM1","false","ECM1"
"102",,"ATN1","false","ATN1"
"103","2","F12","false","F12"
"104","2","FGF13","false","FGF13"
"105",,"CSNK2A1","false","CSNK2A1"
"106","2","GPC3","false","GPC3"
"107",,"FGFR4","false","FGFR4"
"108",,"FGFR1","false","FGFR1"
"109",,"CD44","false","CD44"
"110",,"FGFR2","false","FGFR2"
"111","2","MAPK8IP2","false","MAPK8IP2"
"112","2","HACD3","false","HACD3"
"113",,"RAC1","false","RAC1"
"114","1","HRAS","false","HRAS"
"115","1","IGF1R","false","IGF1R"
"116",,"EGFR","false","EGFR"
"117","2","ELN","false","ELN"
"118",,"IKBKG","false","IKBKG"
"119",,"PDPK1","false","PDPK1"
"120",,"FN1","false","FN1"
"121",,"TRAF1","false","TRAF1"
"122","2","LDLR","false","LDLR"
"123",,"HSPA5","false","HSPA5"
"124","2","LRP2","false","LRP2"
"125",,"GIPC1","false","GIPC1"
"126",,"DLG3","false","DLG3"
"127",,"DLG1","false","DLG1"
"128",,"DAB2","false","DAB2"
"129",,"GAK","false","GAK"
"130","2","LRP8","false","LRP8"
"131",,"GRIN1","false","GRIN1"
"132","2","LTBP1","false","LTBP1"
"133",,"TGFB1","false","TGFB1"
"134",,"TGM2","false","TGM2"
"135",,"TIAM1","false","TIAM1"
"136",,"MAPK9","false","MAPK9"
"137",,"MAPK8","false","MAPK8"
"138","1","MET","false","MET"
"139","2","MFAP5","false","MFAP5"
"140","2","NAGPA","false","NAGPA"
"141","1","NRAS","false","NRAS"
"142",,"SMAD4","false","SMAD4"
"143","1","PBX2","false","PBX2"
"144","1","PIK3CA","false","PIK3CA"
"145",,"PRKCD","false","PRKCD"
"146","1","YWHAH","false","YWHAH"
"147","2","PON1","false","PON1"
"148","1","PTEN","false","PTEN"
"149",,"PXN","false","PXN"
"150","1","RB1","false","RB1"
"151","2","SCAF1","false","SCAF1"
"152",,"PRKCA","false","PRKCA"
"153","2","SELP","false","SELP"
"154","2","SERPINB8","false","SERPINB8"
"155","2","SORL1","false","SORL1"
"156","2","SPP1","false","SPP1"
"157",,"ITGB1","false","ITGB1"
"158","1","SPTBN2","false","SPTBN2"
"159",,"DCTN1","false","DCTN1"
"160",,"SMC1A","false","SMC1A"
"161",,"TGFBR1","false","TGFBR1"
"162",,"AES","false","AES"
"163","1","TERT","false","TERT"
"164","1","TGFA","false","TGFA"
"165","1","TGFBR2","false","TGFBR2"
"166",,"TGFB1I1","false","TGFB1I1"
"167",,"AP2B1","false","AP2B1"
"168","2","TNFAIP6","false","TNFAIP6"
"169","2","VLDLR","false","VLDLR"
"170","2","ZNF8","false","ZNF8"
"171",,"KRT1","false","KRT1"
"172",,"KRT9","false","KRT9"
"173",,"WNT3A","false","WNT3A"
"174",,"FASN","false","FASN"
"175",,"MAGI1","false","MAGI1"
"176",,"EZR","false","EZR"
"177",,"CCND1","false","CCND1"
"178","1","EGF","false","EGF"
"179","2","IGHG1","false","IGHG1"
"180",,"ELANE","false","ELANE"
