"SUID","MCODE_Cluster","MCODE_Node_Status","MCODE_Score","name","selected","shared name"
"687","Cluster 2","Clustered","10.0","MCM8","false","MCM8"
"685","Cluster 2","Clustered","10.0","DBF4","false","DBF4"
"413","Cluster 2","Clustered","10.0","ORC3","false","ORC3"
"523","Cluster 2","Clustered","10.0","ORC1","false","ORC1"
"682","Cluster 2","Clustered","10.0","CDC7","false","CDC7"
"393","Cluster 2","Clustered","10.0","CLSPN","false","CLSPN"
"680","Cluster 2","Clustered","10.0","ORC6","false","ORC6"
"535","Cluster 2","Clustered","10.0","ORC2","false","ORC2"
"678","Cluster 2","Clustered","10.0","ORC5","false","ORC5"
"546","Cluster 2","Clustered","10.0","CDC6","false","CDC6"
"689","Cluster 2","Seed","10.0","MCM10","false","MCM10"
